Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getAllMessageUids,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT uid " + "FROM messages " + "WHERE empty = 0 AND deleted = 0 AND "+ "folder_id = ? ORDER BY date DESC"`new String[]{Long.toString(databaseId)});" is 170.,965
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT uid " + "FROM messages " + "WHERE empty = 0 AND deleted = 0 AND "+ "folder_id = ? ORDER BY date DESC"`new String[]{Long.toString(databaseId)});" is 170.,968
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,moveMessages,Complex Method,Cyclomatic complexity of the method is 8,1045
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,moveMessages,Long Statement,The length of the statement "Timber.d("Updating folder_id to %s for message with UID %s` " + "id %d currently in folder %s"`lDestFolder.getDatabaseId()`message.getUid()`lMessage.getDatabaseId()`getName());" is 176.,1045
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "Timber.d("Updating folder_id to %s for message with UID %s` " + "id %d currently in folder %s"`lDestFolder.getDatabaseId()`message.getUid()`lMessage.getDatabaseId()`getName());" is 176.,1057
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getThreadInfo,Long Statement,The length of the statement "String sql="SELECT t.id` t.message_id` t.root` t.parent " + "FROM messages m " + "LEFT JOIN threads t ON (t.message_id = m.id) "+ "WHERE m.folder_id = ? AND m.message_id = ? " + ((onlyEmpty) ? "AND m.empty = 1 " : "") + "ORDER BY m.id LIMIT 1";" is 244.,1235
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getThreadInfo,Magic Number,The method contains a magic number: 2,1235
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getThreadInfo,Magic Number,The method contains a magic number: 2,1235
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getThreadInfo,Magic Number,The method contains a magic number: 3,1235
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getThreadInfo,Magic Number,The method contains a magic number: 3,1235
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,saveMessage,Complex Method,Cyclomatic complexity of the method is 12,1307
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,saveMessage,Long Method,The method has 103 lines of code.,1307
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,saveMessage,Long Statement,The length of the statement "cv.put("internal_date"`message.getInternalDate() == null ? System.currentTimeMillis() : message.getInternalDate().getTime());" is 125.,1307
