Fullpathname,Project,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
/app/src/main/java/de/danoeh/antennapod/dialog/ProxyDialog.java,AntennaPod-2.1.1,ProxyDialog,325,12,8,1,1,False,False,2,False,False,23,2,37,45,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/dialog/RemoveFeedDialog.java,AntennaPod-2.1.1,RemoveFeedDialog,52,1,1,0,0,False,False,3,False,False,1,3,11,11,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/dialog/RenameFeedDialog.java,AntennaPod-2.1.1,RenameFeedDialog,50,2,1,0,0,False,False,3,False,False,1,0,9,5,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
/app/src/main/java/de/danoeh/antennapod/dialog/ShareDialog.java,AntennaPod-2.1.1,ShareDialog,117,13,3,1,0,False,False,2,False,False,3,2,15,13,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/dialog/SkipPreferenceDialog.java,AntennaPod-2.1.1,SkipPreferenceDialog,63,0,1,0,0,False,False,3,False,False,5,3,7,7,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,AntennaPod-2.1.1,SleepTimerDialog,163,7,5,0,0,False,False,3,False,False,6,2,27,26,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/dialog/StreamingConfirmationDialog.java,AntennaPod-2.1.1,StreamingConfirmationDialog,40,2,1,0,0,False,False,3,False,False,0,0,6,3,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
/app/src/main/java/de/danoeh/antennapod/dialog/SubscriptionsFilterDialog.java,AntennaPod-2.1.1,SubscriptionsFilterDialog,83,0,2,0,0,False,False,3,False,False,5,2,17,10,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/dialog/VariableSpeedDialog.java,AntennaPod-2.1.1,VariableSpeedDialog,170,6,6,0,0,False,False,3,False,False,2,2,24,21,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/discovery/CombinedSearcher.java,AntennaPod-2.1.1,CombinedSearcher,118,1,5,0,1,False,False,2,True,False,5,4,13,23,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/FyydPodcastSearcher.java,AntennaPod-2.1.1,FyydPodcastSearcher,53,1,4,0,1,False,False,3,True,False,1,3,10,7,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/GpodnetPodcastSearcher.java,AntennaPod-2.1.1,GpodnetPodcastSearcher,51,0,4,0,1,False,False,3,True,False,0,3,11,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
