Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,Magic Number,The method contains a magic number: 1048576,133
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,Magic Number,The method contains a magic number: 1073741824,133
SeeWeather-2.03,com.xiecc.seeWeather.common,FileSizeUtil,FormetFileSize,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4e24db00,133
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,put,Magic Number,The method contains a magic number: 1024,110
SeeWeather-2.03,com.xiecc.seeWeather.common,ACache,put,Empty catch clause,The method has an empty catch block.,373
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,FirstActivity,onCreate,Magic Number,The method contains a magic number: 1000,19
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initView,Magic Number,The method contains a magic number: 6,108
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initView,Magic Number,The method contains a magic number: 18,108
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initView,Magic Number,The method contains a magic number: 2,108
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initView,Magic Number,The method contains a magic number: 2,108
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,onHide,Magic Number,The method contains a magic number: 2,150
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,onShow,Magic Number,The method contains a magic number: 2,158
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initDrawer,Long Statement,The length of the statement "ActionBarDrawerToggle toggle=new ActionBarDrawerToggle(this`drawer`toolbar`R.string.navigation_drawer_open`R.string.navigation_drawer_close);" is 141.,165
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initDrawer,Magic Number,The method contains a magic number: 6,165
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,initDrawer,Magic Number,The method contains a magic number: 18,165
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,fetchData,Magic Number,The method contains a magic number: 2,225
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,fetchData,Magic Number,The method contains a magic number: 2,225
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,fetchData,Magic Number,The method contains a magic number: 2,225
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,onCompleted,Magic Number,The method contains a magic number: 2,235
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,onError,Magic Number,The method contains a magic number: 2,240
SeeWeather-2.03,com.xiecc.seeWeather.modules.ui,MainActivity,onNext,Magic Number,The method contains a magic number: 2,245
